,price,Number of Gears,Assembled,Engine CC,Direct Injection,Aspiration,Wheel Base (mm),Front Thread,Fuel Tank (litres),Rear Brakes,vehicle_age,volume,specific_power,brand_tier
0,228999.0,8,Official Import,1998,Direct Injection,Twin-scroll turbo,2851.0,1589.0,59.0,Ventilated discs,3,12345797205.0,124.61962034487756,A
1,127999.0,7,Parallel Import,1991,Direct Injection,Turbo intercooled,2840.0,1589.0,66.0,Discs,8,12230553720.0,98.78664232792869,A
2,119999.0,9,Official Import,1991,Direct Injection,Turbocharged,2939.0,1589.0,66.0,Ventilated discs,7,13384337328.0,98.1075928767378,A
3,43800.0,5,Official Import,1495,Multi-Point Injected,Aspirated,2650.0,1460.0,43.0,Drums,5,12796357500.0,64.06022982432967,D
4,188000.0,5,Locally Built,2493,Multi-Point Injected,Aspirated,2711.0653876272513,1460.0,43.0,Drums,8,12583359973.558815,102.3642847708361,B
5,30800.0,5,Locally Built,2800,Multi-Point Injected,Aspirated,2711.0653876272513,1460.0,43.0,Drums,18,12583359973.558815,102.3642847708361,D
6,58800.0,5,Locally Built,1997,Multi-Point Injected,Aspirated,2711.0653876272513,1460.0,43.0,Drums,6,12583359973.558815,102.3642847708361,C
7,99800.0,8,Locally Built,1997,Direct Injection,Twin-scroll turbo,2968.0,1600.0,70.0,Ventilated discs,8,13343703240.0,81.2505519738585,A
8,375000.0,8,Locally Built,2998,Direct Injection,Twin-scroll turbo,3070.0,1618.0,78.0,Ventilated discs,3,14285998080.0,105.92200288878189,A
9,399000.0,7,Parallel Import,2987,Direct Injection,Turbo intercooled,2850.0,1618.0,96.0,Ventilated discs,10,16885110660.0,62.609418118156725,A
10,213000.0,6,Parallel Import,3456,Multi-Point Injected,Aspirated,3000.0,1600.0,96.0,Ventilated discs,7,17146540000.0,100.94455259932222,B
11,438000.0,8,Official Import,2894,Direct Injection,Twin Turbo intercooled,2950.0,1671.0,80.0,Ventilated discs,6,13965715764.0,112.45144142302188,S
13,99800.0,8,Locally Built,1997,Direct Injection,Twin-scroll turbo,2968.0,1600.0,70.0,Ventilated discs,8,13343703240.0,81.2505519738585,A
14,48800.0,5,Locally Built,1971,Direct Injection,Turbo intercooled,3110.0,1650.0,70.0,Drums,7,23786688000.0,59.00728913571676,D
15,26000.0,4,Locally Built,998,Multi-Point Injected,Aspirated,2455.0,1410.0,33.0,Drums,5,8904168000.0,60.412224591329064,D
16,76000.0,4,Locally Built,1997,Direct Injection,Aspirated,2860.0,1410.0,60.0,Discs,6,15434646750.0,64.56827106375128,C
17,45800.0,4,Locally Built,4009,Multi-Point Injected,Aspirated,2711.0653876272513,1410.0,60.0,Discs,11,12583359973.558815,68.08219057742483,B
18,69800.0,5,Locally Built,2494,Direct Injection,Turbo intercooled,2570.0,1470.0,70.0,Drums,9,15756889500.0,43.00531242094612,B
19,39888.0,5,Parallel Import,1796,Multi-Point Injected,Supercharged,2854.0,1577.0,65.0,Discs,15,12746230992.0,87.46078524574578,A
20,75800.0,8,Locally Built,1499,Direct Injection,Turbo intercooled,2810.0,1544.0,60.0,Discs,7,11989828727.0,68.80849987351378,A
21,199888.0,8,Locally Built,1998,Direct Injection,Twin-scroll turbo,2864.0,1544.0,65.0,Ventilated discs,4,14921139728.0,109.65580261955529,A
22,185888.0,9,Locally Built,1991,Direct Injection,Turbo intercooled,2873.0,1621.0,66.0,Ventilated discs,6,14422937760.0,90.75659168136264,A
23,72800.0,9,Locally Built,4009,Multi-Point Injected,Aspirated,2711.0653876272513,1621.0,66.0,Ventilated discs,10,12583359973.558815,66.66953417351284,B
24,79718.0,6,Locally Built,1998,Multi-Point Injected,Aspirated,2670.0,1540.0,63.0,Discs,5,14276556000.0,75.93610892903901,B
25,120000.0,8,Locally Built,1997,Direct Injection,Twin-scroll turbo,2933.0,1540.0,85.0,Ventilated discs,6,16684497816.0,79.32139735163662,A
26,23800.0,4,Locally Built,1497,Multi-Point Injected,Aspirated,2550.0,1470.0,42.0,Drums,15,10672600000.0,73.61383129600866,B
27,76000.0,4,Locally Built,1997,Direct Injection,Aspirated,2860.0,1470.0,60.0,Discs,6,15434646750.0,64.56827106375128,C
28,33800.0,6,Locally Built,1995,Multi-Point Injected,Aspirated,2635.0,1470.0,60.0,Discs,10,12792415000.0,78.27992902619768,B
29,23800.0,4,Official Import,1498,Multi-Point Injected,Aspirated,2490.0,1475.0,42.0,Drums,11,9871968150.0,74.05170678399907,B
30,194888.0,4,Parallel Import,2493,Multi-Point Injected,Aspirated,3000.0,1575.0,42.0,Drums,7,17163930000.0,67.57258483700898,B
31,47800.0,6,Parallel Import,1598,Direct Injection,Turbo intercooled,2467.0,1575.0,42.0,Discs,15,8797537644.0,64.9736392663548,A
32,58800.0,6,Locally Built,1799,Multi-Point Injected,Aspirated,2610.0,1535.0,50.0,Discs,8,12212393640.0,85.4414875183729,B
33,49800.0,6,Locally Built,4009,Multi-Point Injected,Aspirated,2711.0653876272513,1535.0,50.0,Discs,13,12583359973.558815,92.61140255487973,B
35,64000.0,6,Official Import,1499,Direct Injection,Turbocharged,2670.0,1561.0,51.0,Discs,8,12395541600.0,76.88828584350972,A
36,199000.0,7,Official Import,1991,Direct Injection,Turbo intercooled,2760.0,1538.0,51.0,Ventilated discs,7,11734182526.0,119.28991406603346,A
37,65800.0,7,Locally Built,1997,Direct Injection,Aspirated,2860.0,1538.0,60.0,Discs,7,15434646750.0,64.56827106375128,C
38,34800.0,7,Locally Built,1597,Multi-Point Injected,Aspirated,2555.0,1538.0,40.0,Drums,6,11739559356.0,69.22832645284218,D
39,59900.0,5,Locally Built,1997,Multi-Point Injected,Aspirated,2775.0,1585.0,65.0,Discs,9,13198917500.0,75.60238025558482,B
40,12800.0,4,Locally Built,1332,Multi-Point Injected,Aspirated,2465.0,1585.0,40.0,Drums,13,10741943520.0,46.336942737293924,D
41,10600.0,5,Locally Built,1332,Multi-Point Injected,Aspirated,2465.0,1446.0,40.0,Drums,12,10924300800.0,69.71044482601741,D
42,25800.0,5,Locally Built,1332,Multi-Point Injected,Aspirated,2555.0,1446.0,40.0,Drums,6,10489872960.0,61.64828033744322,D
43,34800.0,5,Locally Built,3660,Multi-Point Injected,Aspirated,2711.0653876272513,1446.0,40.0,Drums,16,12583359973.558815,100.58403634003894,D
44,81800.0,8,Locally Built,1997,Direct Injection,Twin-scroll turbo,2810.0,1543.0,60.0,Ventilated discs,9,11966537456.0,91.84845005740527,A
45,97800.0,7,Official Import,1595,Direct Injection,Turbo intercooled,2699.0,1553.0,50.0,Discs,8,10947776080.0,83.45369924570694,A
46,49800.0,7,Locally Built,1497,Multi-Point Injected,Aspirated,2600.0,1476.0,40.0,Drums,8,11115606600.0,80.96947450811044,B
47,165800.0,9,Parallel Import,1991,Direct Injection,Turbo intercooled,2840.0,1565.0,66.0,Discs,6,12181571500.0,89.16456677650707,A
48,107800.0,9,Locally Built,1997,Multi-Point Injected,Aspirated,2660.0,1601.0,66.0,Discs,4,14277074280.0,75.6087981146897,B
49,124800.0,9,Locally Built,1997,Multi-Point Injected,Aspirated,2660.0,1601.0,66.0,Discs,2,14398541535.0,75.55908818825007,B
50,146800.0,9,Locally Built,1498,Direct Injection,Turbocharged,2660.0,1601.0,66.0,Discs,1,14398541535.0,92.98247304471829,B
51,69800.0,6,Locally Built,2494,Multi-Point Injected,Aspirated,2775.0,1601.0,70.0,Discs,9,12944268750.0,91.26663977410244,B
52,85800.0,5,Locally Built,1997,Multi-Point Injected,Aspirated,2775.0,1585.0,65.0,Discs,7,13375083750.0,75.60238025558482,B
53,19800.0,4,Locally Built,1794,Multi-Point Injected,Aspirated,2600.0,1480.0,55.0,Discs,17,11431002000.0,85.64771081302348,B
54,72600.0,4,Locally Built,1498,Multi-Point Injected,Aspirated,2600.0,1495.0,55.0,Drums,2,11675330748.0,79.55815635478993,B
55,68800.0,4,Locally Built,1497,Multi-Point Injected,Aspirated,2600.0,1476.0,40.0,Drums,4,11114052796.0,80.5325888542897,B
56,92600.0,4,Locally Built,1498,Direct Injection,Turbocharged,2700.0,1547.0,47.0,Discs,6,11794387920.0,98.25302710193326,B
57,44800.0,5,Locally Built,1998,Multi-Point Injected,Aspirated,2700.0,1500.0,50.0,Discs,14,11175062500.0,87.963225696612,B
58,60888.0,7,Locally Built,1796,Direct Injection,Turbo intercooled,2760.0,1549.0,66.0,Discs,10,11758423290.0,101.1553528040859,A
59,57888.0,7,Locally Built,1496,Multi-Point Injected,Aspirated,2550.0,1475.0,42.0,Discs,5,11058075000.0,71.93760925104209,B
60,63800.0,7,Locally Built,1796,Direct Injection,Turbo intercooled,2760.0,1549.0,66.0,Discs,11,11758423290.0,91.2381613527049,A
61,32800.0,5,Locally Built,1799,Multi-Point Injected,Aspirated,2700.0,1499.0,50.0,Discs,17,11433649500.0,84.25613866153105,B
62,50800.0,5,Locally Built,1789,Multi-Point Injected,Aspirated,2711.0653876272513,1499.0,50.0,Discs,3,12583359973.558815,93.28358208955224,C
63,13800.0,5,Locally Built,1487,Carburettor Single,Aspirated,2150.0,1499.0,55.0,Drums,20,11870428500.0,57.19068210350118,C
64,59000.0,5,Locally Built,1497,Multi-Point Injected,Aspirated,2662.0,1500.0,55.0,Drums,6,12871441030.0,72.74755386350134,B
